User ID,Filename,Camera View,Activity Type,Start Time,End Time,Label/Class ID,Appearance Block
65818,Dashboard_User_id_65818_1, Dashboard, Distracted,0:00:00,0:00:08,NA,None
 , , Dashboard, Distracted,0:00:09,0:00:34,9,None
 , , Dashboard, Distracted,0:00:44,0:01:04,7,None
 , , Dashboard, Distracted,0:01:14,0:01:36,13,None
 , , Dashboard, Distracted,0:01:47,0:02:12,14,None
 , , Dashboard, Distracted,0:02:24,0:02:38,6,None
 , , Dashboard, Distracted,0:02:49,0:03:10,10,None
 , , Dashboard, Distracted,0:03:22,0:03:46,17,None
 , , Dashboard, Distracted,0:03:55,0:04:21,16,None
 , , Dashboard, Distracted,0:04:33,0:04:56,11,None
 ,, Dashboard, Distracted,0:04:58,0:05:28,0,None
 ,, Dashboard, Distracted,0:05:31,0:05:44,15,None
 ,, Dashboard, Distracted,0:06:00,0:06:12,3,None
 ,, Dashboard, Distracted,0:06:26,0:06:47,12,None
 ,, Dashboard, Distracted,0:06:59,0:07:14,4,None
 ,, Dashboard, Distracted,0:07:20,0:07:44,2,None
 ,, Dashboard, Distracted,0:08:00,0:08:14,8,None
 ,, Dashboard, Distracted,0:08:29,0:08:39,1,None
 ,, Dashboard, Distracted,0:08:56,0:09:22,5,None
 ,, Dashboard, Distracted,0:09:23,0:09:25,NA,None
 ,Rear_view_User_id_65818_1, Rear_view, Distracted,0:00:00,0:00:08,NA,None
 , , Rear_view, Distracted,0:00:09,0:00:34,9,None
 , , Rear_view, Distracted,0:00:44,0:01:04,7,None
 , , Rear_view, Distracted,0:01:14,0:01:36,13,None
 , , Rear_view, Distracted,0:01:47,0:02:12,14,None
 , , Rear_view, Distracted,0:02:24,0:02:38,6,None
 , , Rear_view, Distracted,0:02:49,0:03:10,10,None
 , , Rear_view, Distracted,0:03:22,0:03:46,17,None
 , , Rear_view, Distracted,0:03:55,0:04:21,16,None
 , , Rear_view, Distracted,0:04:33,0:04:56,11,None
 , , Rear_view, Distracted,0:04:58,0:05:28,0,None
 , , Rear_view, Distracted,0:05:31,0:05:44,15,None
 , , Rear_view, Distracted,0:06:00,0:06:12,3,None
 , , Rear_view, Distracted,0:06:26,0:06:47,12,None
 , , Rear_view, Distracted,0:06:59,0:07:14,4,None
 , , Rear_view, Distracted,0:07:20,0:07:44,2,None
 , , Rear_view, Distracted,0:08:00,0:08:14,8,None
 , , Rear_view, Distracted,0:08:29,0:08:39,1,None
