User ID,Filename,Camera View,Activity Type,Start Time,End Time,Label/Class ID,Appearance Block
56306, Dashboard_user_id_56306_2, Dashboard, Distracted,0:00:00,0:00:05,NA,None
 , , Dashboard, Distracted,0:00:06,0:00:43,3,None
 , , Dashboard, Distracted,0:00:46,0:01:02,17,None
 , , Dashboard, Distracted,0:01:07,0:01:31,12,None
 , , Dashboard, Distracted,0:01:32,0:02:08,4,None
 , , Dashboard, Distracted,0:02:13,0:02:36,9,None
 , , Dashboard, Distracted,0:02:37,0:03:12,0,None
 , , Dashboard, Distracted,0:03:13,0:03:46,2,None
 , , Dashboard, Distracted,0:03:47,0:04:07,14,None
 , , Dashboard, Distracted,0:04:17,0:04:41,7,None
 , , Dashboard, Distracted,0:04:48,0:05:11,11,None
 , , Dashboard, Distracted,0:05:18,0:05:40,8,None
 , , Dashboard, Distracted,0:05:41,0:06:11,1,None
 ,, Dashboard, Distracted,0:06:16,0:06:38,16,None
 ,, Dashboard, Distracted,0:06:42,0:07:11,6,None
 ,, Dashboard, Distracted,0:07:12,0:07:31,10,None
 ,, Dashboard, Distracted,0:07:39,0:08:02,13,None
 ,, Dashboard, Distracted,0:08:05,0:08:32,5,None
 ,, Dashboard, Distracted,0:08:37,0:08:57,15,None
 ,, Dashboard, Distracted,0:08:58,0:09:17,NA,None
 ,Rear_view_user_id_56306_2, Rear_view, Distracted,0:00:00,0:00:05,NA,None
 ,, Rear_view, Distracted,0:00:06,0:00:43,3,None
 ,, Rear_view, Distracted,0:00:46,0:01:02,17,None
 , , Rear_view, Distracted,0:01:07,0:01:31,12,None
 , , Rear_view, Distracted,0:01:32,0:02:08,4,None
 , , Rear_view, Distracted,0:02:13,0:02:36,9,None
 , , Rear_view, Distracted,0:02:37,0:03:12,0,None
 , , Rear_view, Distracted,0:03:13,0:03:46,2,None
 , , Rear_view, Distracted,0:03:47,0:04:07,14,None
 , , Rear_view, Distracted,0:04:17,0:04:41,7,None
 , , Rear_view, Distracted,0:04:48,0:05:11,11,None
 , , Rear_view, Distracted,0:05:18,0:05:40,8,None
 , , Rear_view, Distracted,0:05:41,0:06:11,1,None
 , , Rear_view, Distracted,0:06:16,0:06:38,16,None
 , , Rear_view, Distracted,0:06:42,0:07:11,6,None
 , , Rear_view, Distracted,0:07:12,0:07:31,10,None
 , , Rear_view, Distracted,0:07:39,0:08:02,13,None
 , , Rear_view, Distracted,0:08:05,0:08:32,5,None
 , , Rear_view, Distracted,0:08:37,0:08:57,15,None
 , , Rear_view, Distracted,0:08:58,0:09:35,NA,None
 ,Rightside_window_user_id_56306_2, Rightside_window, Distracted,0:00:00,0:00:05,NA,None
, , Rightside_window, Distracted,0:00:06,0:00:43,3,None
, , Rightside_window, Distracted,0:00:46,0:01:02,17,None
, , Rightside_window, Distracted,0:01:07,0:01:31,12,None
 , , Rightside_window, Distracted,0:01:32,0:02:08,4,None
 , , Rightside_window, Distracted,0:02:13,0:02:36,9,None
 , , Rightside_window, Distracted,0:02:37,0:03:12,0,None
 , , Rightside_window, Distracted,0:03:13,0:03:46,2,None
 , , Rightside_window, Distracted,0:03:47,0:04:07,14,None
 , , Rightside_window, Distracted,0:04:17,0:04:41,7,None
 , , Rightside_window, Distracted,0:04:48,0:05:11,11,None
 , , Rightside_window, Distracted,0:05:18,0:05:40,8,None
 , , Rightside_window, Distracted,0:05:41,0:06:11,1,None
 , , Rightside_window, Distracted,0:06:16,0:06:38,16,None
 , , Rightside_window, Distracted,0:06:42,0:07:11,6,None
 , , Rightside_window, Distracted,0:07:12,0:07:31,10,None
 , , Rightside_window, Distracted,0:07:39,0:08:02,13,None
 , , Rightside_window, Distracted,0:08:05,0:08:32,5,None
 , , Rightside_window, Distracted,0:08:37,0:08:57,15,None
 ,, Rightside_window, Distracted,0:08:58,0:10:05,NA,None
