User ID,Filename,Camera View,Activity Type,Start Time,End Time,Label/Class ID,Appearance Block
72519,Dashboard_User_id_72519_2, Dashboard, Distracted,0:00:00,0:01:48,NA,None
 , , Dashboard, Distracted,0:01:49,0:02:20,5,None
 , , Dashboard, Distracted,0:02:32,0:02:53,16,None
 , , Dashboard, Distracted,0:03:01,0:03:27,17,None
 , , Dashboard, Distracted,0:03:36,0:03:49,12,None
 , , Dashboard, Distracted,0:04:01,0:04:23,3,None
 , , Dashboard, Distracted,0:04:28,0:04:46,7,None
 , , Dashboard, Distracted,0:04:55,0:05:18,4,None
 , , Dashboard, Distracted,0:05:27,0:05:47,6,None
 , , Dashboard, Distracted,0:05:54,0:06:12,1,None
 , , Dashboard, Distracted,0:06:25,0:06:42,9,None
 , , Dashboard, Distracted,0:06:52,0:06:57,14,None
 , , Dashboard, Distracted,0:07:00,0:07:52,0,None
 , , Dashboard, Distracted,0:07:53,0:08:17,13,None
 , , Dashboard, Distracted,0:08:26,0:08:51,10,None
 , , Dashboard, Distracted,0:08:59,0:09:22,15,None
 , , Dashboard, Distracted,0:09:31,0:09:56,2,None
 , , Dashboard, Distracted,0:10:01,0:10:24,11,None
 , , Dashboard, Distracted,0:10:34,0:10:57,8,None
 ,Rearview_mirror_User_id_72519_2, Rear_view, Distracted,0:00:00,0:01:48,NA,None
 , , Rear_view, Distracted,0:01:49,0:02:20,5,None
 , , Rear_view, Distracted,0:02:32,0:02:53,16,None
 , , Rear_view, Distracted,0:03:01,0:03:27,17,None
 , , Rear_view, Distracted,0:03:36,0:03:49,12,None
 , , Rear_view, Distracted,0:04:01,0:04:23,3,None
 , , Rear_view, Distracted,0:04:28,0:04:46,7,None
 , , Rear_view, Distracted,0:04:55,0:05:18,4,None
 , , Rear_view, Distracted,0:05:27,0:05:47,6,None
 , , Rear_view, Distracted,0:05:54,0:06:12,1,None
 , , Rear_view, Distracted,0:06:25,0:06:42,9,None
 , , Rear_view, Distracted,0:06:52,0:06:57,14,None
 , , Rear_view, Distracted,0:07:00,0:07:52,0,None
 , , Rear_view, Distracted,0:07:53,0:08:17,13,None
 , , Rear_view, Distracted,0:08:26,0:08:51,10,None
 , , Rear_view, Distracted,0:08:59,0:09:22,15,None
 , , Rear_view, Distracted,0:09:31,0:09:56,2,None
 , , Rear_view, Distracted,0:10:01,0:10:24,11,None
 , , Rear_view, Distracted,0:10:34,0:10:58,8,None
 ,Right_window_User_id_72519_2, Rightside_window, Distracted,0:00:00,0:01:48,NA,None
 ,, Rightside_window, Distracted,0:01:49,0:02:20,5,None
 ,, Rightside_window, Distracted,0:02:32,0:02:53,16,None
 ,, Rightside_window, Distracted,0:03:01,0:03:27,17,None
 ,, Rightside_window, Distracted,0:03:36,0:03:49,12,None
 ,, Rightside_window, Distracted,0:04:01,0:04:23,3,None
 ,, Rightside_window, Distracted,0:04:28,0:04:46,7,None
 ,, Rightside_window, Distracted,0:04:55,0:05:18,4,None
 ,, Rightside_window, Distracted,0:05:27,0:05:47,6,None
 ,, Rightside_window, Distracted,0:05:54,0:06:12,1,None
 ,, Rightside_window, Distracted,0:06:25,0:06:42,9,None
 ,, Rightside_window, Distracted,0:06:52,0:06:57,14,None
 ,, Rightside_window, Distracted,0:07:00,0:07:52,0,None
 ,, Rightside_window, Distracted,0:07:53,0:08:17,13,None
 ,, Rightside_window, Distracted,0:08:26,0:08:51,10,None
 ,, Rightside_window, Distracted,0:08:59,0:09:22,15,None
 ,, Rightside_window, Distracted,0:09:31,0:09:56,2,None
 ,, Rightside_window, Distracted,0:10:01,0:10:24,11,None
 ,, Rightside_window, Distracted,0:10:34,0:11:00,8,None
 ,Dashboard_User_id_72519_3, Dashboard, Distracted,0:00:00,0:00:20,NA,Hat
 ,, Dashboard, Distracted,0:00:21,0:00:47,5,Hat
 , , Dashboard, Distracted,0:00:55,0:01:17,16,Hat
 , , Dashboard, Distracted,0:01:29,0:01:53,17,Hat
 , , Dashboard, Distracted,0:02:03,0:02:19,13,Hat
, , Dashboard, Distracted,0:02:28,0:02:49,3,Hat
, , Dashboard, Distracted,0:02:56,0:03:09,7,Hat
, , Dashboard, Distracted,0:03:22,0:03:44,4,Hat
, , Dashboard, Distracted,0:03:54,0:04:14,6,Hat
, , Dashboard, Distracted,0:04:21,0:04:43,1,Hat
, , Dashboard, Distracted,0:04:50,0:05:10,9,Hat
, , Dashboard, Distracted,0:05:18,0:05:23,14,Hat
, , Dashboard, Distracted,0:05:27,0:06:20,0,Hat
, , Dashboard, Distracted,0:06:21,0:06:42,12,Hat
, , Dashboard, Distracted,0:06:52,0:07:19,10,Hat
, , Dashboard, Distracted,0:07:27,0:07:49,15,Hat
, , Dashboard, Distracted,0:07:58,0:08:21,2,Hat
, , Dashboard, Distracted,0:08:28,0:08:52,11,Hat
, , Dashboard, Distracted,0:09:00,0:09:23,8,Hat
, , Dashboard, Distracted,0:09:24,0:10:16,NA,Hat
,Rearview_mirror_User_id_72519_3, Rear_view, Distracted,0:00:00,0:00:20,NA,Hat
,, Rear_view, Distracted,0:00:21,0:00:47,5,Hat
,, Rear_view, Distracted,0:00:55,0:01:17,16,Hat
,, Rear_view, Distracted,0:01:29,0:01:53,17,Hat
,, Rear_view, Distracted,0:02:03,0:02:19,13,Hat
,, Rear_view, Distracted,0:02:28,0:02:49,3,Hat
,, Rear_view, Distracted,0:02:56,0:03:09,7,Hat
,, Rear_view, Distracted,0:03:22,0:03:44,4,Hat
,, Rear_view, Distracted,0:03:54,0:04:14,6,Hat
,, Rear_view, Distracted,0:04:21,0:04:43,1,Hat
,, Rear_view, Distracted,0:04:50,0:05:10,9,Hat
,, Rear_view, Distracted,0:05:18,0:05:23,14,Hat
,, Rear_view, Distracted,0:05:27,0:06:20,0,Hat
,, Rear_view, Distracted,0:06:21,0:06:42,12,Hat
, , Rear_view, Distracted,0:06:52,0:07:19,10,Hat
, , Rear_view, Distracted,0:07:27,0:07:49,15,Hat
, , Rear_view, Distracted,0:07:58,0:08:21,2,Hat
, , Rear_view, Distracted,0:08:28,0:08:52,11,Hat
, , Rear_view, Distracted,0:09:00,0:09:23,8,Hat
, , Rear_view, Distracted,0:09:24,0:10:09,NA,Hat
,Right_window_User_id_72519_3, Rightside_window, Distracted,0:00:00,0:00:20,NA,Hat
, , Rightside_window, Distracted,0:00:21,0:00:47,5,Hat
, , Rightside_window, Distracted,0:00:55,0:01:17,16,Hat
, , Rightside_window, Distracted,0:01:29,0:01:53,17,Hat
, , Rightside_window, Distracted,0:02:03,0:02:19,13,Hat
, , Rightside_window, Distracted,0:02:28,0:02:49,3,Hat
, , Rightside_window, Distracted,0:02:56,0:03:09,7,Hat
, , Rightside_window, Distracted,0:03:22,0:03:44,4,Hat
, , Rightside_window, Distracted,0:03:54,0:04:14,6,Hat
, , Rightside_window, Distracted,0:04:21,0:04:43,1,Hat
, , Rightside_window, Distracted,0:04:50,0:05:10,9,Hat
, , Rightside_window, Distracted,0:05:18,0:05:23,14,Hat
, , Rightside_window, Distracted,0:05:27,0:06:20,0,Hat
, , Rightside_window, Distracted,0:06:21,0:06:42,12,Hat
, , Rightside_window, Distracted,0:06:52,0:07:19,10,Hat
, , Rightside_window, Distracted,0:07:27,0:07:49,15,Hat
, , Rightside_window, Distracted,0:07:58,0:08:21,2,Hat
, , Rightside_window, Distracted,0:08:28,0:08:52,11,Hat
, , Rightside_window, Distracted,0:09:00,0:09:23,8,Hat
, , Rightside_window, Distracted,0:09:24,0:10:21,NA,Hat
